event_id,user_id,event_name,device_type,plan_type,experiment_variant,event_properties,event_timestamp
237d64c0-999b-4950-bac2-3b80a83e88d9,03cc8e1b-0bcd-4814-8117-e9a2517dd0d2,cancel,web,pro,B,"{""reason"": ""other""}",2024-03-13
4a2be54e-ca0e-4a0a-8b86-67be3e456386,0252a896-5a3c-40e1-8b0e-52c07ad50952,signup,web,free,B,"{""source"": ""paid_search"", ""country"": ""US""}",
13de4abd-a2dc-4ab7-a4ff-0a19aecaddfc,0252a896-5a3c-40e1-8b0e-52c07ad50952,onboarding_completed,mobile,,,"{""steps_completed"": 5}",2024-02-05
cba4726f-f3be-4596-bc58-039a97f24d40,0252a896-5a3c-40e1-8b0e-52c07ad50952,feature_a_used,web,free,B,"{""usage_count"": 7}",2024-02-09
40994893-646d-41e9-926e-d43ebe84d07b,b6d291b7-6957-41f6-bdd7-495d7542ead5,signup,web,free,B,"{""source"": ""organic"", ""country"": ""CA""}",
0131cfee-9818-49b9-9385-1dadb613b83b,02c9dd28-d158-488a-b5af-a8d00d409c86,signup,web,free,A,"{""source"": ""referral"", ""country"": ""US""}",
f462add4-77ec-435d-977a-51042f4a6f56,02c9dd28-d158-488a-b5af-a8d00d409c86,onboarding_completed,web,,,"{""steps_completed"": 5}",2024-02-05
5cdd2ac8-1fd5-487e-adf3-44d58d57bee3,02c9dd28-d158-488a-b5af-a8d00d409c86,feature_b_used,web,free,A,"{""usage_count"": 9}",2024-02-14
248eb117-5510-4581-bd10-18022f2ab6d3,0eceb6db-85c8-41b4-bc5c-4e485bb162fb,signup,mobile,free,B,"{""source"": ""paid_search"", ""country"": ""US""}",
8dc9b8d4-2ab3-4e80-9ac5-9e0c89200a2b,af2293f3-d152-4e61-8c7e-61cd3ec94f5f,signup,web,free,A,"{""source"": ""sales"", ""country"": ""GB""}",
3c4292eb-7d36-4ac9-9409-fb345217802e,af2293f3-d152-4e61-8c7e-61cd3ec94f5f,onboarding_completed,web,,,"{""steps_completed"": 5}",2024-02-08
6157f659-9637-4ea6-b2fe-70447584a478,af2293f3-d152-4e61-8c7e-61cd3ec94f5f,feature_a_used,web,free,A,"{""usage_count"": 2}",2024-02-12
bd2a96db-6d46-43ce-8b9b-d0aa1f509624,af2293f3-d152-4e61-8c7e-61cd3ec94f5f,feature_b_used,mobile,free,A,"{""usage_count"": 3}",2024-02-19
48b98e08-0af3-49b0-bdc7-a90f20af5351,ac8176e6-343b-49ff-a88e-f8db89c4cf70,signup,mobile,free,B,"{""source"": ""sales"", ""country"": ""GB""}",
10c56ed9-6f59-416d-a500-e5c625935f83,ac8176e6-343b-49ff-a88e-f8db89c4cf70,onboarding_completed,web,,,"{""steps_completed"": 5}",2024-01-28
e298a9a8-ac3c-4d15-9d4d-7e67e967433d,ac8176e6-343b-49ff-a88e-f8db89c4cf70,upgrade,mobile,pro,B,"{""from_plan"": ""free"", ""to_plan"": ""pro""}",2024-02-27
9714b95b-e875-40c8-a9f0-986a1dc197c4,036c2407-b91c-4735-9390-6e2d328bd55c,signup,mobile,free,B,"{""source"": ""paid_search"", ""country"": ""GB""}",
e6b229f8-417e-4ff6-b1c4-d527fcd24c79,036c2407-b91c-4735-9390-6e2d328bd55c,onboarding_completed,mobile,,,"{""steps_completed"": 5}",2024-01-28
86d1ce78-f7cb-497f-9d60-94fd6fc241d6,036c2407-b91c-4735-9390-6e2d328bd55c,feature_a_used,mobile,free,B,"{""usage_count"": 3}",2024-02-08
f5335544-b0bf-4cb6-843b-a1dfc4389d31,036c2407-b91c-4735-9390-6e2d328bd55c,feature_b_used,mobile,free,B,"{""usage_count"": 5}",2024-02-21
8463bb82-2413-4400-9e9a-2cf79fb979bf,036c2407-b91c-4735-9390-6e2d328bd55c,cancel,web,pro,B,"{""reason"": ""other""}",2024-04-16
c7779e85-c67f-4e48-94e6-c3b679d3fc9f,7ec275ab-923f-4f07-862f-2257357715ae,signup,mobile,free,B,"{""source"": ""referral"", ""country"": ""CA""}",
dda82edb-cb11-4c59-a2d0-cb0c7a634769,7ec275ab-923f-4f07-862f-2257357715ae,onboarding_completed,mobile,,,"{""steps_completed"": 5}",2024-02-05
0864c1e4-121f-4a43-8733-304dbec0c823,7ec275ab-923f-4f07-862f-2257357715ae,feature_a_used,web,free,B,"{""usage_count"": 2}",2024-02-19
3fd6f7c2-f43d-46dc-b9a6-6f8bf3d64b53,7a62fc76-1888-4261-84cd-31f05fdf3b30,signup,web,free,B,"{""source"": ""referral"", ""country"": ""US""}",
db2cca02-6ebc-4681-abff-21a60806b905,ae3b49e0-b909-4f7c-8e49-03d7776e229b,signup,mobile,free,A,"{""source"": ""paid_search"", ""country"": ""IN""}",
3c43873a-5b81-4aae-9283-0450f883d873,ae3b49e0-b909-4f7c-8e49-03d7776e229b,onboarding_completed,mobile,,,"{""steps_completed"": 5}",2024-01-24
b4ed7b23-05d4-41db-83af-5a522e631f42,19dfb762-a891-4ab4-95d2-0941d10103c8,signup,web,free,B,"{""source"": ""paid_search"", ""country"": ""CA""}",
5479f6e6-70f5-4a91-a0aa-7ab15cebc5ae,da263777-d82b-45a5-86a9-82135990793b,signup,web,free,B,"{""source"": ""sales"", ""country"": ""DE""}",
24de791a-c642-4864-b81d-56fe301080c6,f0348968-aa54-4c9c-b2bd-e1a9186a480a,signup,web,free,A,"{""source"": ""referral"", ""country"": ""IN""}",
f34816b4-65a5-40a8-acdc-7e70b0cee4fc,f0348968-aa54-4c9c-b2bd-e1a9186a480a,feature_a_used,mobile,free,A,"{""usage_count"": 9}",2024-02-12
25f9eb21-9e81-483d-94dd-efe7d61bef37,d3d3cfc4-d60d-434a-85da-59e1a6fd0992,signup,web,free,A,"{""source"": ""paid_search"", ""country"": ""GB""}",
74503ed6-26b7-42c6-bfdf-e3da3cc03c1d,d3d3cfc4-d60d-434a-85da-59e1a6fd0992,onboarding_completed,web,,,"{""steps_completed"": 5}",2024-01-28
e14a1ff1-72af-4f8a-95d3-32d2abde4746,d3d3cfc4-d60d-434a-85da-59e1a6fd0992,feature_b_used,mobile,free,A,"{""usage_count"": 4}",2024-02-08
0fc8ccfd-00f3-4ae1-b28e-2b9d060e2dcd,d3d3cfc4-d60d-434a-85da-59e1a6fd0992,upgrade,web,pro,A,"{""from_plan"": ""free"", ""to_plan"": ""pro""}",2024-02-28
c8e778e0-14a4-4909-acc2-ba0a51de3df3,3d1b43b3-4bf8-43eb-b420-3bbb572c31ed,signup,mobile,free,A,"{""source"": ""organic"", ""country"": ""CA""}",
e77c544c-3491-4a16-97b6-3a8677f2f4d9,8948bfea-ae03-44bf-bbbf-7ea9df1dd692,signup,web,free,B,"{""source"": ""organic"", ""country"": ""GB""}",
490cc1ab-2b2d-4776-9e45-916a8bfdc48e,8948bfea-ae03-44bf-bbbf-7ea9df1dd692,onboarding_completed,web,,,"{""steps_completed"": 5}",2024-01-30
80fcf6e4-178f-4e09-9726-d6ed0112ead8,8948bfea-ae03-44bf-bbbf-7ea9df1dd692,upgrade,mobile,pro,B,"{""from_plan"": ""free"", ""to_plan"": ""pro""}",2024-02-09
d6906ffb-3fb4-4a80-aee1-95bee4f585bd,04eb031d-ee22-4712-bf0b-5b906e4c0e36,signup,web,free,A,"{""source"": ""sales"", ""country"": ""GB""}",
6c47d826-c683-4917-93a6-34255462385f,04eb031d-ee22-4712-bf0b-5b906e4c0e36,feature_b_used,mobile,free,A,"{""usage_count"": 6}",2024-02-07
ad78e079-de07-4685-b7f6-fc0e2caf40e9,82cde71f-638e-4cf3-a0fc-49f48f3e3524,signup,mobile,free,B,"{""source"": ""organic"", ""country"": ""CA""}",
8a74f8fc-c381-4c3a-848e-d723ed5ae147,52c655c9-203b-424a-ae44-3bc620c39dbf,signup,mobile,free,A,"{""source"": ""referral"", ""country"": ""CA""}",
61d0bbf8-b15b-4004-b876-3b5d355a2dd9,52c655c9-203b-424a-ae44-3bc620c39dbf,onboarding_completed,web,,,"{""steps_completed"": 5}",2024-02-12
4c1d474c-0a0e-4514-b655-5cffa339f86f,52c655c9-203b-424a-ae44-3bc620c39dbf,feature_b_used,web,free,A,"{""usage_count"": 2}",2024-02-22
f693b8ff-2f70-4310-a95f-0de5b027f81d,6bb9afed-bf79-427b-9400-98cad986adb9,signup,web,free,B,"{""source"": ""sales"", ""country"": ""DE""}",
501834a6-e43e-4b05-a6e6-d938f3a01d1d,6bb9afed-bf79-427b-9400-98cad986adb9,onboarding_completed,web,,,"{""steps_completed"": 5}",2024-02-03
659af835-3f59-4f2c-aac4-08a118f30751,6bb9afed-bf79-427b-9400-98cad986adb9,feature_a_used,mobile,free,B,"{""usage_count"": 1}",2024-02-11
c030c6ca-e6c1-403e-a182-3db74e64ceb7,9ad22ba5-769c-48d7-9e3c-8e69f4c90325,signup,web,free,A,"{""source"": ""sales"", ""country"": ""CA""}",
ccff206e-0ffc-45e5-88f9-00df9672f343,dd12273f-ef4b-4975-9199-3509f5f271c7,signup,mobile,free,B,"{""source"": ""referral"", ""country"": ""CA""}",
94cad981-86c2-4371-a436-5adc4963873c,dd12273f-ef4b-4975-9199-3509f5f271c7,onboarding_completed,mobile,,,"{""steps_completed"": 5}",2024-02-08
45829954-7205-4eaa-b759-9d4d56633972,83e58b5c-ab1f-4e53-8406-5c2112cdb110,signup,web,free,B,"{""source"": ""paid_search"", ""country"": ""IN""}",
70f060ba-c205-45b0-b039-445ed58afb2e,6bc6951a-1d24-40cb-855c-112942f467d7,signup,mobile,free,B,"{""source"": ""referral"", ""country"": ""IN""}",
fd70356d-4406-41af-9850-2af800f6522a,6bc6951a-1d24-40cb-855c-112942f467d7,onboarding_completed,web,,,"{""steps_completed"": 5}",2024-01-26
a6085c81-de1e-4569-8956-d1b1a9861edb,6bc6951a-1d24-40cb-855c-112942f467d7,feature_a_used,mobile,free,B,"{""usage_count"": 1}",2024-01-29
5f2e212d-ffbc-44b7-b992-973766a45a63,623353b3-cc97-4134-b341-fcc2b928f517,signup,web,free,A,"{""source"": ""sales"", ""country"": ""IN""}",
5633d8d2-3b81-4a50-865c-5ceb9af53c85,623353b3-cc97-4134-b341-fcc2b928f517,onboarding_completed,web,,,"{""steps_completed"": 5}",2024-02-02
6a6fa28f-5c71-4582-b709-611d61c64481,ace90f5b-014d-4277-b786-fcf5bafe4455,signup,mobile,free,A,"{""source"": ""sales"", ""country"": ""GB""}",
38929484-e61c-4905-a412-2988d8ec614c,2aaed1ae-4540-4dfb-8521-8e4f233a8177,signup,mobile,free,B,"{""source"": ""paid_search"", ""country"": ""CA""}",
7e0d2281-b009-4d5d-ab59-131a2a2fbb09,2aaed1ae-4540-4dfb-8521-8e4f233a8177,onboarding_completed,web,,,"{""steps_completed"": 5}",2024-02-14
082c40d4-7dc6-4c3e-8edb-43fe17589d8a,2aaed1ae-4540-4dfb-8521-8e4f233a8177,feature_b_used,mobile,free,B,"{""usage_count"": 7}",2024-02-25
f89a1a8a-2077-495e-9fd4-dd57d1ef6c0a,9f3e3a12-49a2-40d7-874b-9254cff80a85,signup,web,free,A,"{""source"": ""sales"", ""country"": ""US""}",
8d692534-b2bc-435d-a93a-4ed32d7fcc1f,83618463-196e-4a27-ac53-e1c3ca4fea35,signup,web,free,B,"{""source"": ""organic"", ""country"": ""US""}",
9ad83473-e1dd-4c3b-93d3-dbe3f7fd1336,e40b7a15-b143-4a34-be83-c17795567954,signup,mobile,free,A,"{""source"": ""paid_search"", ""country"": ""CA""}",
515d9971-6852-473d-bf11-7615129ebf64,e40b7a15-b143-4a34-be83-c17795567954,onboarding_completed,mobile,,,"{""steps_completed"": 5}",2024-02-15
50f7029d-8574-4fa7-86bf-c0d05c15753c,e40b7a15-b143-4a34-be83-c17795567954,feature_b_used,mobile,free,A,"{""usage_count"": 8}",2024-02-17
8a258dac-42b6-413a-910e-48bf02900be4,e40b7a15-b143-4a34-be83-c17795567954,cancel,web,pro,A,"{""reason"": ""other""}",2024-05-09
cb415c9a-abdf-4579-ab35-6d637182a94b,20bcfaba-af6a-4090-9f7f-5a42871b4eac,signup,web,free,B,"{""source"": ""sales"", ""country"": ""IN""}",
8aaf634d-a3f1-4c66-bc90-8e2550456670,20bcfaba-af6a-4090-9f7f-5a42871b4eac,upgrade,mobile,pro,B,"{""from_plan"": ""free"", ""to_plan"": ""pro""}",2024-02-21
0d67175f-ab65-415e-a1d8-7bdc8197d0f8,9e4add7f-bf5f-4743-9086-99acfafb17e5,signup,mobile,free,A,"{""source"": ""organic"", ""country"": ""DE""}",
08436d2e-f32a-4959-aede-dcae04c79b53,4665979b-6761-4090-8996-eced020c7707,signup,mobile,free,B,"{""source"": ""sales"", ""country"": ""IN""}",
841573aa-d39b-417c-9935-93857f3185d4,8bf557b3-0797-4273-b7c9-7ce6abbc881a,signup,web,free,B,"{""source"": ""sales"", ""country"": ""IN""}",
d1f38265-731d-46fe-94f0-67ab558f48b4,bd6aa7b3-dff2-4b18-aa0c-9858239604df,signup,web,free,A,"{""source"": ""referral"", ""country"": ""IN""}",
454f3fbe-f5b7-451f-990d-cb5b5f1ec588,bd6aa7b3-dff2-4b18-aa0c-9858239604df,onboarding_completed,mobile,,,"{""steps_completed"": 5}",2024-02-09
cc1b51f8-f56c-46c1-ab6e-c22f212b5f6a,bd6aa7b3-dff2-4b18-aa0c-9858239604df,feature_a_used,mobile,free,A,"{""usage_count"": 10}",2024-02-18
272c6c56-1efa-4033-8e10-16ebfb0a570a,073d2aa1-92e4-430e-bc74-846b95fdd369,signup,web,free,A,"{""source"": ""organic"", ""country"": ""US""}",
aac691bf-fc1b-4d13-8c8c-b83f9aa176e2,073d2aa1-92e4-430e-bc74-846b95fdd369,onboarding_completed,mobile,,,"{""steps_completed"": 5}",2024-01-25
83bf1162-8095-4526-bb20-3f9e8247a88a,1313c121-fbb6-441e-9797-ee6e1909efc9,signup,mobile,free,A,"{""source"": ""referral"", ""country"": ""GB""}",
1beb6784-ced7-4fbd-8752-aac429d40fc3,1313c121-fbb6-441e-9797-ee6e1909efc9,feature_a_used,mobile,free,A,"{""usage_count"": 3}",2024-02-12
40c03a77-7699-4a45-a3b4-0797f2cc08d8,cff0a4cd-8abd-48db-bc53-b0be9648f023,signup,mobile,free,A,"{""source"": ""organic"", ""country"": ""GB""}",
47a4bc01-4936-4168-811b-9c527840c3a6,cff0a4cd-8abd-48db-bc53-b0be9648f023,onboarding_completed,mobile,,,"{""steps_completed"": 5}",2024-01-27
34290634-35a1-45ab-9021-a7c00f6c5817,cff0a4cd-8abd-48db-bc53-b0be9648f023,upgrade,web,pro,A,"{""from_plan"": ""free"", ""to_plan"": ""pro""}",2024-02-22
4d333340-26d3-4538-a69a-9bcad8db3ff1,6647eb1f-6d6f-48f2-ab56-02dbf8e44892,signup,web,free,B,"{""source"": ""sales"", ""country"": ""CA""}",
b4f9850c-5138-4522-9e5f-e22d0ae8909b,6647eb1f-6d6f-48f2-ab56-02dbf8e44892,cancel,mobile,pro,B,"{""reason"": ""price""}",2024-04-20
befb88b9-4efe-4d27-adc8-87df8c734c1f,90a25328-2bfa-47da-b8ea-b1bb1d38e913,signup,mobile,free,B,"{""source"": ""sales"", ""country"": ""US""}",
1922db3e-617a-424a-a746-1f969c6e8284,c920b76c-25ed-403a-8462-839d3f3650b4,signup,web,free,B,"{""source"": ""referral"", ""country"": ""IN""}",
750f4af2-3946-4be8-8c27-e21a76c3e110,c920b76c-25ed-403a-8462-839d3f3650b4,onboarding_completed,mobile,,,"{""steps_completed"": 5}",2024-01-29
00dd74e9-a6ec-43bb-8256-69f754fdb653,c920b76c-25ed-403a-8462-839d3f3650b4,feature_b_used,web,free,B,"{""usage_count"": 7}",2024-02-09
6f6b1d25-10ec-453a-ae93-5a278a165c88,c920b76c-25ed-403a-8462-839d3f3650b4,cancel,mobile,pro,B,"{""reason"": ""other""}",2024-04-14
896f8738-9449-4ae2-86e1-bc3f4c5a4b3c,fdb32157-5b56-4943-b533-8b53bd159772,signup,mobile,free,B,"{""source"": ""paid_search"", ""country"": ""IN""}",
cd0a33e2-4d08-440b-92c9-a0ceedc585f2,fdb32157-5b56-4943-b533-8b53bd159772,onboarding_completed,web,,,"{""steps_completed"": 5}",2024-02-03
3794c15d-5f10-4187-a9a6-5f215da360f3,fdb32157-5b56-4943-b533-8b53bd159772,feature_a_used,mobile,free,B,"{""usage_count"": 2}",2024-02-11
44257eb1-7210-48f0-a2fe-7b28a28d5259,b51fc1a6-7f47-43bc-90df-9b89e25ca8c6,signup,mobile,free,A,"{""source"": ""organic"", ""country"": ""GB""}",
13659f22-6b32-4722-bf08-2a719a75fc82,46d82318-4657-446a-a4ab-e68c55c5e541,signup,mobile,free,B,"{""source"": ""paid_search"", ""country"": ""CA""}",
83cb3aee-fe02-4676-a783-0b9c4fbe50e9,46d82318-4657-446a-a4ab-e68c55c5e541,onboarding_completed,mobile,,,"{""steps_completed"": 5}",2024-02-03
021523f9-daf3-4f61-8d39-7d14ea2997af,46d82318-4657-446a-a4ab-e68c55c5e541,feature_b_used,web,free,B,"{""usage_count"": 3}",2024-02-04
2ac57bfe-3a32-4d77-a9ae-daa8c9fd5ced,a4ef6efd-a09e-4274-963d-0c4e9712dd32,signup,mobile,free,A,"{""source"": ""referral"", ""country"": ""CA""}",
